SeriesInstanceUID,Manufacturer,Split
1.3.6.1.4.1.14519.5.2.1.6279.6001.454273545863197752384437758130,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.241717018262666382493757419144,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.176030616406569931557298712518,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.975426625618184773401026809852,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.254176853278710432756285662989,2,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.133378195429627807109985347209,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.294120933998772507043263238704,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.970428941353693253759289796610,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.104780906131535625872840889059,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.481278873893653517789960724156,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.267957701183569638795986183786,2,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.233433352108264931671753343044,2,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.314836406260772370397541392345,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.249404938669582150398726875826,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.333145094436144085379032922488,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.410251741986998833890312367579,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.128881800399702510818644205032,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.225154811831720426832024114593,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.768856069922657732839929586657,3,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.724562063158320418413995627171,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.183924380327950237519832859527,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.238042459915048190592571019348,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.168042389372367513325505818854,3,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.436403998650924660479049012235,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.244204120220889433826451158706,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.255999614855292116767517149228,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.603126300703296693942875967838,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.189483585244687808087477024767,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.837810280808122125183730411210,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.271307051432838466826189754230,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.219428004988664846407984058588,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.320967206808467952819309001585,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.120842785645314664964010792308,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.336198008634390022174744544656,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.295298571102631191572192562523,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.935683764293840351008008793409,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.948414623428298219623354433437,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.283569726884265181140892667131,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.752756872840730509471096155114,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.279953669991076107785464313394,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.268838889380981659524993261082,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.339142594937666268384335506819,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.397202838387416555106806022938,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.367204840301639918160517361062,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.140527383975300992150799777603,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.202283133206014258077705539227,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.470912100568074901744259213968,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.243094273518213382155770295147,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.100953483028192176989979435275,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.153732973534937692357111055819,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.106630482085576298661469304872,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.197063290812663596858124411210,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.204566802718283633558802774757,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.102681962408431413578140925249,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.616033753016904899083676284739,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.278660284797073139172446973682,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.306948744223170422945185006551,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.194766721609772924944646251928,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.868211851413924881662621747734,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.287560874054243719452635194040,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.198698492013538481395497694975,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.826829446346820089862659555750,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.160586340600816116143631200450,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.176362912420491262783064585333,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.465032801496479029639448332481,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.302557165094691896097534021075,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.195913706607582347421429908613,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.236698827306171960683086245994,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.113697708991260454310623082679,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.329404588567903628160652715124,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.149041668385192796520281592139,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.472487466001405705666001578363,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.324567010179873305471925391582,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.122621219961396951727742490470,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.310395752124284049604069960014,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.805925269324902055566754756843,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.193808128386712859512130599234,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.173931884906244951746140865701,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.261700367741314729940340271960,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.200841000324240313648595016964,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.311981398931043315779172047718,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.312704771348460502013249647868,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.566816709786169715745131047975,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.313283554967554803238484128406,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.309901913847714156367981722205,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.208737629504245244513001631764,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.272344603176687884771013620823,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.233652865358649579816568545171,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.249314567767437206995861966896,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.188484197846284733942365679565,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.161073793312426102774780216551,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.124656777236468248920498636247,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.518487185634324801733841260431,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.337845202462615014431060697507,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.173106154739244262091404659845,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.328944769569002417592093467626,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.246589849815292078281051154201,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.177985905159808659201278495182,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.188209889686363159853715266493,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.178680586845223339579041794709,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.162718361851587451505896742103,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.106164978370116976238911317774,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.438308540025607517017949816111,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.307946352302138765071461362398,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.187451715205085403623595258748,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.154703816225841204080664115280,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.905371958588660410240398317235,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.939216568327879462530496768794,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.270390050141765094612147226290,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.320111824803959660037459294083,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.944888107209008719031293531091,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.292576688635952269497781991202,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.174168737938619557573021395302,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.321935195060268166151738328001,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.230491296081537726468075344411,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.307835307280028057486413359377,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.330544495001617450666819906758,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.143410010885830403003179808334,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.866845763956586959109892274084,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.240969450540588211676803094518,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.822128649427327893802314908658,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.614147706162329660656328811671,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.221017801605543296514746423389,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.242761658169703141430370511586,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.121993590721161347818774929286,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.280972147860943609388015648430,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.200513183558872708878454294671,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.262873069163227096134627700599,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.217955041973656886482758642958,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.341557859428950960906150406596,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.245181799370098278918756923992,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.203425588524695836343069893813,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.249032660919473722154870746474,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.277452631455527999380186898011,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.248357157975955379661896491341,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.176869045992276345870480098568,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.268992195564407418480563388746,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.621916089407825046337959219998,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.315918264676377418120578391325,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.212346425055214308006918165305,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.141149610914910880857802344415,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.106379658920626694402549886949,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.248360766706804179966476685510,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.200837896655745926888305239398,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.861997885565255340442123234170,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.257840703452266097926250569223,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.150097650621090951325113116280,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.832260670372728970918746541371,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.486999111981013268988489262668,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.128059192202504367870633619224,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.395623571499047043765181005112,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.171667800241622018839592854574,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.219618492426142913407827034169,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.340012777775661021262977442176,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.170825539570536865106681134236,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.171177995014336749670107905732,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.686193079844756926365065559979,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.211051626197585058967163339846,2,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.166662353777397833477082464008,2,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.428038562098395445838061018440,2,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.326057189095429101398977448288,2,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.170921541362033046216100409521,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.324290109423920971676288828329,2,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.238019241099704094018548301753,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.254929810944557499537650429296,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.316911475886263032009840828684,2,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.269689294231892620436462818860,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.270215889102603268207599305185,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.199261544234308780356714831537,2,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.136756942516460150151065708673,3,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.177252583002664900748714851615,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.123697637451437522065941162930,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.154677396354641150280013275227,1,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.406508755509460310384282367044,2,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.322682676064999314374885526223,3,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.160216916075817913953530562493,2,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.122763913896761494371822656720,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.439153572396640163898529626096,2,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.124154461048929153767743874565,2,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.957384617596077920906744920611,2,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.191301539558980174217770205256,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.235381170872316280538332229850,2,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.334166493392278943610545989413,2,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.725023183844147505748475581290,1,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.229664630348267553620068691756,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.303865116731361029078599241306,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.156322145453198768801776721493,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.398955972049286139436103068984,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.191617711875409989053242965150,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.316900421002460665752357657094,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.159996104466052855396410079250,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.104577655443617884345707415897,3,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.315187221221054114974341475212,1,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.194465340552956447447896167830,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.266462563888243192390432002410,2,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.199220738144407033276946096708,1,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.130438550890816550994739120843,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.323753921818102744511069914832,0,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.897161587681142256575045076919,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.160124400349792614505500125883,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.271220641987745483198036913951,2,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.387954549120924524005910602207,2,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.157537616155071783765339942952,3,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.272343160521796269119503632549,2,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.690929968028676628605553365896,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.296066944953051278419805374238,2,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.121108220866971173712229588402,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.236452051640243530449001532111,2,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.272042302501586336192628818865,1,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.908250781706513856628130123235,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.112020141051733785092412736928,3,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.170344311940983984999167745197,3,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.147979688121667984912633630926,2,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.249450003033735700817635168066,2,test
1.3.6.1.4.1.14519.5.2.1.6279.6001.125067060506283419853742462394,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.179209990684978588019929720099,2,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.292868422368935585625620199750,3,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.449780571702869645673186059985,2,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.177888806135892723698313903329,0,train
1.3.6.1.4.1.14519.5.2.1.6279.6001.440226700369921575481834344455,2,train
