Test,Method,Metric,mu,learning_rate,tau,server_learning_rate,beta1,beta2,optimizer_class,deterministic_cycle
client_test_3,Cyclic100,0.5208333333333334,,0.01,,,,,<class 'torch.optim.adam.Adam'>,
client_test_4,Cyclic100,0.9361702127659576,,0.01,,,,,<class 'torch.optim.adam.Adam'>,
client_test_5,Cyclic100,1.0,,0.01,,,,,<class 'torch.optim.adam.Adam'>,
Pooled Test,Cyclic100,0.7728937728937729,,0.01,,,,,<class 'torch.optim.adam.Adam'>,
client_test_0,Scaffold100,0.8938547486033519,,0.01,,0.1,,,<class 'torch.optim.sgd.SGD'>,
client_test_1,Scaffold100,0.6136363636363636,,0.01,,0.1,,,<class 'torch.optim.sgd.SGD'>,
client_test_2,Scaffold100,0.5555555555555556,,0.01,,0.1,,,<class 'torch.optim.sgd.SGD'>,
client_test_3,Scaffold100,0.5833333333333334,,0.01,,0.1,,,<class 'torch.optim.sgd.SGD'>,
client_test_4,Scaffold100,0.8297872340425532,,0.01,,0.1,,,<class 'torch.optim.sgd.SGD'>,
client_test_5,Scaffold100,1.0,,0.01,,0.1,,,<class 'torch.optim.sgd.SGD'>,
Pooled Test,Scaffold100,0.7860805860805861,,0.01,,0.1,,,<class 'torch.optim.sgd.SGD'>,
client_test_0,FedAvg500,0.8519553072625698,,0.1,,,,,<class 'torch.optim.adam.Adam'>,
client_test_1,FedAvg500,0.75,,0.1,,,,,<class 'torch.optim.adam.Adam'>,
client_test_2,FedAvg500,0.8148148148148148,,0.1,,,,,<class 'torch.optim.adam.Adam'>,
client_test_3,FedAvg500,0.5208333333333334,,0.1,,,,,<class 'torch.optim.adam.Adam'>,
client_test_4,FedAvg500,0.851063829787234,,0.1,,,,,<class 'torch.optim.adam.Adam'>,
client_test_5,FedAvg500,1.0,,0.1,,,,,<class 'torch.optim.adam.Adam'>,
Pooled Test,FedAvg500,0.7941391941391941,,0.1,,,,,<class 'torch.optim.adam.Adam'>,
client_test_0,FedProx500,0.7374301675977654,0.1,0.1,,,,,<class 'torch.optim.adam.Adam'>,
client_test_1,FedProx500,0.2045454545454545,0.1,0.1,,,,,<class 'torch.optim.adam.Adam'>,
client_test_2,FedProx500,0.2962962962962963,0.1,0.1,,,,,<class 'torch.optim.adam.Adam'>,
client_test_3,FedProx500,0.75,0.1,0.1,,,,,<class 'torch.optim.adam.Adam'>,
client_test_4,FedProx500,0.3617021276595745,0.1,0.1,,,,,<class 'torch.optim.adam.Adam'>,
client_test_5,FedProx500,0.3333333333333333,0.1,0.1,,,,,<class 'torch.optim.adam.Adam'>,
Pooled Test,FedProx500,0.517948717948718,0.1,0.1,,,,,<class 'torch.optim.adam.Adam'>,
client_test_0,FedAdagrad500,0.8938547486033519,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>,
client_test_1,FedAdagrad500,0.5909090909090909,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>,
client_test_2,FedAdagrad500,0.5555555555555556,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>,
client_test_3,FedAdagrad500,0.6458333333333334,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>,
client_test_4,FedAdagrad500,0.8085106382978723,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>,
client_test_5,FedAdagrad500,1.0,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>,
Pooled Test,FedAdagrad500,0.7941391941391941,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>,
client_test_0,FedAdam500,0.6508379888268156,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>,
client_test_1,FedAdam500,0.8863636363636364,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>,
client_test_2,FedAdam500,0.7685185185185185,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>,
client_test_3,FedAdam500,0.5,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>,
client_test_4,FedAdam500,0.9787234042553192,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>,
client_test_5,FedAdam500,0.6666666666666666,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>,
Pooled Test,FedAdam500,0.76007326007326,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>,
client_test_0,FedYogi500,0.6508379888268156,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>,
client_test_1,FedYogi500,0.8863636363636364,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>,
client_test_2,FedYogi500,0.7685185185185185,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>,
client_test_3,FedYogi500,0.5,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>,
client_test_4,FedYogi500,0.9787234042553192,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>,
client_test_5,FedYogi500,0.6666666666666666,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>,
Pooled Test,FedYogi500,0.76007326007326,,0.01,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>,
client_test_0,Cyclic500,0.7793296089385475,,0.01,,,,,<class 'torch.optim.adam.Adam'>,
client_test_1,Cyclic500,0.7727272727272727,,0.01,,,,,<class 'torch.optim.adam.Adam'>,
client_test_2,Cyclic500,0.7314814814814815,,0.01,,,,,<class 'torch.optim.adam.Adam'>,
client_test_3,Cyclic500,0.5208333333333334,,0.01,,,,,<class 'torch.optim.adam.Adam'>,
client_test_4,Cyclic500,0.8723404255319149,,0.01,,,,,<class 'torch.optim.adam.Adam'>,
client_test_5,Cyclic500,1.0,,0.01,,,,,<class 'torch.optim.adam.Adam'>,
Pooled Test,Cyclic500,0.7615384615384615,,0.01,,,,,<class 'torch.optim.adam.Adam'>,
client_test_0,Scaffold500,0.8994413407821229,,0.01,,0.1,,,<class 'torch.optim.sgd.SGD'>,
client_test_1,Scaffold500,0.5227272727272727,,0.01,,0.1,,,<class 'torch.optim.sgd.SGD'>,
client_test_2,Scaffold500,0.5,,0.01,,0.1,,,<class 'torch.optim.sgd.SGD'>,
client_test_3,Scaffold500,0.5833333333333334,,0.01,,0.1,,,<class 'torch.optim.sgd.SGD'>,
client_test_4,Scaffold500,0.7446808510638298,,0.01,,0.1,,,<class 'torch.optim.sgd.SGD'>,
client_test_5,Scaffold500,1.0,,0.01,,0.1,,,<class 'torch.optim.sgd.SGD'>,
Pooled Test,Scaffold500,0.7509157509157509,,0.01,,0.1,,,<class 'torch.optim.sgd.SGD'>,
client_test_0,FedAvg100,0.8603351955307262,,0.1,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_1,FedAvg100,0.6363636363636364,,0.1,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_2,FedAvg100,0.7685185185185185,,0.1,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_3,FedAvg100,0.6875,,0.1,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_4,FedAvg100,0.9148936170212766,,0.1,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_5,FedAvg100,1.0,,0.1,,,,,<class 'torch.optim.sgd.SGD'>,
Pooled Test,FedAvg100,0.8395604395604396,,0.1,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_0,FedAvg500,0.8324022346368715,,0.1,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_1,FedAvg500,0.7727272727272727,,0.1,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_2,FedAvg500,0.7314814814814815,,0.1,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_3,FedAvg500,0.5625,,0.1,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_4,FedAvg500,0.9574468085106383,,0.1,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_5,FedAvg500,1.0,,0.1,,,,,<class 'torch.optim.sgd.SGD'>,
Pooled Test,FedAvg500,0.8212454212454212,,0.1,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_0,FedProx100,0.8491620111731844,1.0,0.1,,,,,<class 'torch.optim.adam.Adam'>,
client_test_1,FedProx100,0.6363636363636364,1.0,0.1,,,,,<class 'torch.optim.adam.Adam'>,
client_test_2,FedProx100,0.6481481481481481,1.0,0.1,,,,,<class 'torch.optim.adam.Adam'>,
client_test_3,FedProx100,0.5625,1.0,0.1,,,,,<class 'torch.optim.adam.Adam'>,
client_test_4,FedProx100,0.8297872340425532,1.0,0.1,,,,,<class 'torch.optim.adam.Adam'>,
client_test_5,FedProx100,1.0,1.0,0.1,,,,,<class 'torch.optim.adam.Adam'>,
Pooled Test,FedProx100,0.7956043956043956,1.0,0.1,,,,,<class 'torch.optim.adam.Adam'>,
client_test_0,FedProx500,0.6452513966480447,1.0,0.1,,,,,<class 'torch.optim.adam.Adam'>,
client_test_1,FedProx500,0.8863636363636364,1.0,0.1,,,,,<class 'torch.optim.adam.Adam'>,
client_test_2,FedProx500,0.7222222222222222,1.0,0.1,,,,,<class 'torch.optim.adam.Adam'>,
client_test_3,FedProx500,0.3958333333333333,1.0,0.1,,,,,<class 'torch.optim.adam.Adam'>,
client_test_4,FedProx500,0.9787234042553192,1.0,0.1,,,,,<class 'torch.optim.adam.Adam'>,
client_test_5,FedProx500,0.6666666666666666,1.0,0.1,,,,,<class 'torch.optim.adam.Adam'>,
Pooled Test,FedProx500,0.7355311355311356,1.0,0.1,,,,,<class 'torch.optim.adam.Adam'>,
client_test_0,FedAvg100,0.8994413407821229,,1e-05,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_1,FedAvg100,0.5,,1e-05,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_2,FedAvg100,0.4722222222222222,,1e-05,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_3,FedAvg100,0.6041666666666666,,1e-05,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_4,FedAvg100,0.7446808510638298,,1e-05,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_5,FedAvg100,1.0,,1e-05,,,,,<class 'torch.optim.sgd.SGD'>,
Pooled Test,FedAvg100,0.7362637362637363,,1e-05,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_0,FedAvg500,0.8994413407821229,,1e-05,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_1,FedAvg500,0.5,,1e-05,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_2,FedAvg500,0.4814814814814814,,1e-05,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_3,FedAvg500,0.6041666666666666,,1e-05,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_4,FedAvg500,0.7446808510638298,,1e-05,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_5,FedAvg500,1.0,,1e-05,,,,,<class 'torch.optim.sgd.SGD'>,
Pooled Test,FedAvg500,0.736996336996337,,1e-05,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_0,FedAvg100,0.88268156424581,,0.0001,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_1,FedAvg100,0.6136363636363636,,0.0001,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_2,FedAvg100,0.5555555555555556,,0.0001,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_3,FedAvg100,0.5416666666666666,,0.0001,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_4,FedAvg100,0.8723404255319149,,0.0001,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_5,FedAvg100,1.0,,0.0001,,,,,<class 'torch.optim.sgd.SGD'>,
Pooled Test,FedAvg100,0.7857142857142857,,0.0001,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_0,FedAvg500,0.88268156424581,,0.0001,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_1,FedAvg500,0.6136363636363636,,0.0001,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_2,FedAvg500,0.5555555555555556,,0.0001,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_3,FedAvg500,0.5416666666666666,,0.0001,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_4,FedAvg500,0.8723404255319149,,0.0001,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_5,FedAvg500,1.0,,0.0001,,,,,<class 'torch.optim.sgd.SGD'>,
Pooled Test,FedAvg500,0.7857142857142857,,0.0001,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_0,FedAvg100,0.8184357541899442,,0.001,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_1,FedAvg100,0.75,,0.001,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_2,FedAvg100,0.6203703703703703,,0.001,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_3,FedAvg100,0.5,,0.001,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_4,FedAvg100,0.8936170212765957,,0.001,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_5,FedAvg100,1.0,,0.001,,,,,<class 'torch.optim.sgd.SGD'>,
Pooled Test,FedAvg100,0.7857142857142857,,0.001,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_0,FedAvg500,0.8044692737430168,,0.001,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_1,FedAvg500,0.7727272727272727,,0.001,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_2,FedAvg500,0.6388888888888888,,0.001,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_3,FedAvg500,0.4791666666666667,,0.001,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_4,FedAvg500,0.9148936170212766,,0.001,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_5,FedAvg500,1.0,,0.001,,,,,<class 'torch.optim.sgd.SGD'>,
Pooled Test,FedAvg500,0.7772893772893773,,0.001,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_0,FedAvg100,0.8072625698324022,,0.0031622776601683,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_1,FedAvg100,0.75,,0.0031622776601683,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_2,FedAvg100,0.6388888888888888,,0.0031622776601683,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_3,FedAvg100,0.5,,0.0031622776601683,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_4,FedAvg100,0.9148936170212766,,0.0031622776601683,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_5,FedAvg100,1.0,,0.0031622776601683,,,,,<class 'torch.optim.sgd.SGD'>,
Pooled Test,FedAvg100,0.7868131868131868,,0.0031622776601683,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_0,FedAvg500,0.770949720670391,,0.0031622776601683,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_1,FedAvg500,0.7954545454545454,,0.0031622776601683,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_2,FedAvg500,0.6574074074074074,,0.0031622776601683,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_3,FedAvg500,0.4791666666666667,,0.0031622776601683,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_4,FedAvg500,0.9574468085106383,,0.0031622776601683,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_5,FedAvg500,1.0,,0.0031622776601683,,,,,<class 'torch.optim.sgd.SGD'>,
Pooled Test,FedAvg500,0.7721611721611722,,0.0031622776601683,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_0,FedAvg100,0.7988826815642458,,0.01,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_1,FedAvg100,0.7727272727272727,,0.01,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_2,FedAvg100,0.6759259259259259,,0.01,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_3,FedAvg100,0.5,,0.01,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_4,FedAvg100,0.9361702127659576,,0.01,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_5,FedAvg100,1.0,,0.01,,,,,<class 'torch.optim.sgd.SGD'>,
Pooled Test,FedAvg100,0.7860805860805861,,0.01,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_0,FedAvg500,0.7374301675977654,,0.01,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_1,FedAvg500,0.8181818181818182,,0.01,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_2,FedAvg500,0.6944444444444444,,0.01,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_3,FedAvg500,0.4583333333333333,,0.01,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_4,FedAvg500,0.9787234042553192,,0.01,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_5,FedAvg500,1.0,,0.01,,,,,<class 'torch.optim.sgd.SGD'>,
Pooled Test,FedAvg500,0.7725274725274726,,0.01,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_0,FedAvg100,0.8016759776536313,,0.0316227766016837,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_1,FedAvg100,0.7727272727272727,,0.0316227766016837,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_2,FedAvg100,0.7037037037037037,,0.0316227766016837,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_3,FedAvg100,0.5625,,0.0316227766016837,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_4,FedAvg100,0.9787234042553192,,0.0316227766016837,,,,,<class 'torch.optim.sgd.SGD'>,
client_test_5,FedAvg100,1.0,,0.0316227766016837,,,,,<class 'torch.optim.sgd.SGD'>,
Pooled Test,FedAvg100,0.8065934065934066,,0.0316227766016837,,,,,<class 'torch.optim.sgd.SGD'>,
