Test,Method,Metric,mu,learning_rate,tau,server_learning_rate,beta1,beta2,optimizer_class
client_test_0,FedProx100,0.7307692307692307,0.1,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_1,FedProx100,0.7865168539325843,0.1,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_2,FedProx100,0.625,0.1,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_3,FedProx100,0.7777777777777778,0.1,0.001,,,,,<class 'torch.optim.adam.Adam'>
Pooled Test,FedProx100,0.7519685039370079,0.1,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_0,FedAdagrad100,0.5384615384615384,,0.0001,1e-08,0.01,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_1,FedAdagrad100,0.6292134831460674,,0.0001,1e-08,0.01,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_2,FedAdagrad100,0.0625,,0.0001,1e-08,0.01,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_3,FedAdagrad100,0.2222222222222222,,0.0001,1e-08,0.01,0.9,0.999,<class 'torch.optim.sgd.SGD'>
Pooled Test,FedAdagrad100,0.484251968503937,,0.0001,1e-08,0.01,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_0,FedAdam100,0.5961538461538461,,0.0001,1e-08,0.01,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_1,FedAdam100,0.651685393258427,,0.0001,1e-08,0.01,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_2,FedAdam100,0.0625,,0.0001,1e-08,0.01,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_3,FedAdam100,0.6,,0.0001,1e-08,0.01,0.9,0.999,<class 'torch.optim.sgd.SGD'>
Pooled Test,FedAdam100,0.5826771653543307,,0.0001,1e-08,0.01,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_0,FedYogi100,0.6057692307692307,,0.0001,1e-08,0.01,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_1,FedYogi100,0.5617977528089888,,0.0001,1e-08,0.01,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_2,FedYogi100,0.0625,,0.0001,1e-08,0.01,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_3,FedYogi100,0.6,,0.0001,1e-08,0.01,0.9,0.999,<class 'torch.optim.sgd.SGD'>
Pooled Test,FedYogi100,0.5551181102362205,,0.0001,1e-08,0.01,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_0,Cyclic100,0.4230769230769231,,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_1,Cyclic100,0.4943820224719101,,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_2,Cyclic100,0.9375,,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_3,Cyclic100,0.4666666666666667,,0.001,,,,,<class 'torch.optim.adam.Adam'>
Pooled Test,Cyclic100,0.4881889763779528,,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_0,Scaffold100,0.5384615384615384,,0.01,,0.01,,,<class 'torch.optim.sgd.SGD'>
client_test_1,Scaffold100,0.6292134831460674,,0.01,,0.01,,,<class 'torch.optim.sgd.SGD'>
client_test_2,Scaffold100,0.0625,,0.01,,0.01,,,<class 'torch.optim.sgd.SGD'>
client_test_3,Scaffold100,0.2222222222222222,,0.01,,0.01,,,<class 'torch.optim.sgd.SGD'>
Pooled Test,Scaffold100,0.484251968503937,,0.01,,0.01,,,<class 'torch.optim.sgd.SGD'>
client_test_0,FedAvg500,0.6634615384615384,,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_1,FedAvg500,0.7191011235955056,,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_2,FedAvg500,0.5625,,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_3,FedAvg500,0.8,,0.001,,,,,<class 'torch.optim.adam.Adam'>
Pooled Test,FedAvg500,0.7007874015748031,,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_0,FedProx500,0.6826923076923077,0.1,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_1,FedProx500,0.7528089887640449,0.1,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_2,FedProx500,0.5625,0.1,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_3,FedProx500,0.7555555555555555,0.1,0.001,,,,,<class 'torch.optim.adam.Adam'>
Pooled Test,FedProx500,0.7125984251968503,0.1,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_0,FedAdagrad500,0.5384615384615384,,0.0001,1e-08,0.01,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_1,FedAdagrad500,0.6292134831460674,,0.0001,1e-08,0.01,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_2,FedAdagrad500,0.0625,,0.0001,1e-08,0.01,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_3,FedAdagrad500,0.2222222222222222,,0.0001,1e-08,0.01,0.9,0.999,<class 'torch.optim.sgd.SGD'>
Pooled Test,FedAdagrad500,0.484251968503937,,0.0001,1e-08,0.01,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_0,FedAdam500,0.5384615384615384,,0.0001,1e-08,0.01,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_1,FedAdam500,0.6292134831460674,,0.0001,1e-08,0.01,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_2,FedAdam500,0.0625,,0.0001,1e-08,0.01,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_3,FedAdam500,0.2222222222222222,,0.0001,1e-08,0.01,0.9,0.999,<class 'torch.optim.sgd.SGD'>
Pooled Test,FedAdam500,0.484251968503937,,0.0001,1e-08,0.01,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_0,FedYogi500,0.5384615384615384,,0.0001,1e-08,0.01,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_1,FedYogi500,0.6292134831460674,,0.0001,1e-08,0.01,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_2,FedYogi500,0.0625,,0.0001,1e-08,0.01,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_3,FedYogi500,0.2222222222222222,,0.0001,1e-08,0.01,0.9,0.999,<class 'torch.optim.sgd.SGD'>
Pooled Test,FedYogi500,0.484251968503937,,0.0001,1e-08,0.01,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_0,Cyclic500,0.4326923076923077,,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_1,Cyclic500,0.42696629213483145,,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_2,Cyclic500,0.9375,,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_3,Cyclic500,0.5777777777777777,,0.001,,,,,<class 'torch.optim.adam.Adam'>
Pooled Test,Cyclic500,0.4881889763779528,,0.001,,,,,<class 'torch.optim.adam.Adam'>
client_test_0,Scaffold500,0.5384615384615384,,0.01,,0.01,,,<class 'torch.optim.sgd.SGD'>
client_test_1,Scaffold500,0.6292134831460674,,0.01,,0.01,,,<class 'torch.optim.sgd.SGD'>
client_test_2,Scaffold500,0.0625,,0.01,,0.01,,,<class 'torch.optim.sgd.SGD'>
client_test_3,Scaffold500,0.2222222222222222,,0.01,,0.01,,,<class 'torch.optim.sgd.SGD'>
Pooled Test,Scaffold500,0.484251968503937,,0.01,,0.01,,,<class 'torch.optim.sgd.SGD'>
