Test,Method,Metric,deterministic_cycle,learning_rate,optimizer_class,server_learning_rate,mu
client_test_5,Local 4,0.443506006006006,,0.0005,<class 'torch.optim.adam.Adam'>,,
Pooled Test,Local 4,0.17907465798877942,,0.0005,<class 'torch.optim.adam.Adam'>,,
client_test_0,Local 5,0.14244842040900701,,0.0005,<class 'torch.optim.adam.Adam'>,,
client_test_1,Local 5,0.19327052489905788,,0.0005,<class 'torch.optim.adam.Adam'>,,
client_test_2,Local 5,0.1554924455970233,,0.0005,<class 'torch.optim.adam.Adam'>,,
client_test_3,Local 5,0.14543251920942724,,0.0005,<class 'torch.optim.adam.Adam'>,,
client_test_4,Local 5,0.31313131313131315,,0.0005,<class 'torch.optim.adam.Adam'>,,
client_test_5,Local 5,0.3612987987987988,,0.0005,<class 'torch.optim.adam.Adam'>,,
Pooled Test,Local 5,0.13799759941687748,,0.0005,<class 'torch.optim.adam.Adam'>,,
client_test_0,Cyclic100,0.48160949181698726,False,0.0031622776601683,<class 'torch.optim.sgd.SGD'>,,
client_test_1,Cyclic100,0.573428186887137,False,0.0031622776601683,<class 'torch.optim.sgd.SGD'>,,
client_test_2,Cyclic100,0.6023109700067362,False,0.0031622776601683,<class 'torch.optim.sgd.SGD'>,,
client_test_3,Cyclic100,0.3887963762038466,False,0.0031622776601683,<class 'torch.optim.sgd.SGD'>,,
client_test_4,Cyclic100,0.2090290661719233,False,0.0031622776601683,<class 'torch.optim.sgd.SGD'>,,
client_test_5,Cyclic100,0.6174924924924925,False,0.0031622776601683,<class 'torch.optim.sgd.SGD'>,,
Pooled Test,Cyclic100,0.4638378738399729,False,0.0031622776601683,<class 'torch.optim.sgd.SGD'>,,
client_test_0,FedAdagrad100,0.5852341455743655,,0.01,<class 'torch.optim.sgd.SGD'>,0.0316227766016837,
client_test_1,FedAdagrad100,0.5996197312482642,,0.01,<class 'torch.optim.sgd.SGD'>,0.0316227766016837,
client_test_2,FedAdagrad100,0.5278208354654403,,0.01,<class 'torch.optim.sgd.SGD'>,0.0316227766016837,
client_test_3,FedAdagrad100,0.35598539269516893,,0.01,<class 'torch.optim.sgd.SGD'>,0.0316227766016837,
client_test_4,FedAdagrad100,0.38486909915481343,,0.01,<class 'torch.optim.sgd.SGD'>,0.0316227766016837,
client_test_5,FedAdagrad100,0.7023273273273274,,0.01,<class 'torch.optim.sgd.SGD'>,0.0316227766016837,
Pooled Test,FedAdagrad100,0.5394330567153068,,0.01,<class 'torch.optim.sgd.SGD'>,0.0316227766016837,
client_test_0,FedAdam100,0.5488772519863696,,0.01,<class 'torch.optim.sgd.SGD'>,0.0031622776601683,
client_test_1,FedAdam100,0.6965583541626611,,0.01,<class 'torch.optim.sgd.SGD'>,0.0031622776601683,
client_test_2,FedAdam100,0.6744092099825554,,0.01,<class 'torch.optim.sgd.SGD'>,0.0031622776601683,
client_test_3,FedAdam100,0.4295572503732122,,0.01,<class 'torch.optim.sgd.SGD'>,0.0031622776601683,
client_test_4,FedAdam100,0.4239332096474954,,0.01,<class 'torch.optim.sgd.SGD'>,0.0031622776601683,
client_test_5,FedAdam100,0.6169294294294294,,0.01,<class 'torch.optim.sgd.SGD'>,0.0031622776601683,
Pooled Test,FedAdam100,0.5250801768670651,,0.01,<class 'torch.optim.sgd.SGD'>,0.0031622776601683,
client_test_0,FedAvg100,0.6261825200994728,,0.01,<class 'torch.optim.sgd.SGD'>,,
client_test_1,FedAvg100,0.6519227071716978,,0.01,<class 'torch.optim.sgd.SGD'>,,
client_test_2,FedAvg100,0.7164982306310247,,0.01,<class 'torch.optim.sgd.SGD'>,,
client_test_3,FedAvg100,0.47393565905435225,,0.01,<class 'torch.optim.sgd.SGD'>,,
client_test_4,FedAvg100,0.38816738816738816,,0.01,<class 'torch.optim.sgd.SGD'>,,
client_test_5,FedAvg100,0.7306681681681682,,0.01,<class 'torch.optim.sgd.SGD'>,,
Pooled Test,FedAvg100,0.6033859407935462,,0.01,<class 'torch.optim.sgd.SGD'>,,
client_test_0,FedProx100,0.5540655617343956,,0.01,<class 'torch.optim.sgd.SGD'>,,0.001
client_test_1,FedProx100,0.5748798308017689,,0.01,<class 'torch.optim.sgd.SGD'>,,0.001
client_test_2,FedProx100,0.6484384221023075,,0.01,<class 'torch.optim.sgd.SGD'>,,0.001
client_test_3,FedProx100,0.46067457033167925,,0.01,<class 'torch.optim.sgd.SGD'>,,0.001
client_test_4,FedProx100,0.41383219954648526,,0.01,<class 'torch.optim.sgd.SGD'>,,0.001
client_test_5,FedProx100,0.7697072072072072,,0.01,<class 'torch.optim.sgd.SGD'>,,0.001
Pooled Test,FedProx100,0.5317773792652674,,0.01,<class 'torch.optim.sgd.SGD'>,,0.001
client_test_0,FedYogi100,0.572138322898144,,0.01,<class 'torch.optim.sgd.SGD'>,0.0031622776601683,
client_test_1,FedYogi100,0.6539319361661219,,0.01,<class 'torch.optim.sgd.SGD'>,0.0031622776601683,
client_test_2,FedYogi100,0.6618836723555407,,0.01,<class 'torch.optim.sgd.SGD'>,0.0031622776601683,
client_test_3,FedYogi100,0.44269691849884135,,0.01,<class 'torch.optim.sgd.SGD'>,0.0031622776601683,
client_test_4,FedYogi100,0.38311688311688313,,0.01,<class 'torch.optim.sgd.SGD'>,0.0031622776601683,
client_test_5,FedYogi100,0.6854354354354354,,0.01,<class 'torch.optim.sgd.SGD'>,0.0031622776601683,
Pooled Test,FedYogi100,0.5474532692386447,,0.01,<class 'torch.optim.sgd.SGD'>,0.0031622776601683,
client_test_0,Scaffold100,0.6437971289568496,,0.01,<class 'torch.optim.sgd.SGD'>,1.0,
client_test_1,Scaffold100,0.6771966929436647,,0.01,<class 'torch.optim.sgd.SGD'>,1.0,
client_test_2,Scaffold100,0.7348555533032363,,0.01,<class 'torch.optim.sgd.SGD'>,1.0,
client_test_3,Scaffold100,0.46273041459802283,,0.01,<class 'torch.optim.sgd.SGD'>,1.0,
client_test_4,Scaffold100,0.3738404452690167,,0.01,<class 'torch.optim.sgd.SGD'>,1.0,
client_test_5,Scaffold100,0.6783033033033032,,0.01,<class 'torch.optim.sgd.SGD'>,1.0,
Pooled Test,Scaffold100,0.6152358081644705,,0.01,<class 'torch.optim.sgd.SGD'>,1.0,
