Test,Method,Metric,learning_rate,optimizer_class,mu,tau,server_learning_rate,beta1,beta2,deterministic_cycle
client_test_1,FedAvg500,0.6966292134831461,0.0001,<class 'torch.optim.sgd.SGD'>,,,,,,
client_test_2,FedAvg500,0.0625,0.0001,<class 'torch.optim.sgd.SGD'>,,,,,,
client_test_3,FedAvg500,0.4222222222222222,0.0001,<class 'torch.optim.sgd.SGD'>,,,,,,
Pooled Test,FedAvg500,0.5826771653543307,0.0001,<class 'torch.optim.sgd.SGD'>,,,,,,
client_test_0,FedProx500,0.46153846153846156,0.001,<class 'torch.optim.sgd.SGD'>,0.01,,,,,
client_test_1,FedProx500,0.3707865168539326,0.001,<class 'torch.optim.sgd.SGD'>,0.01,,,,,
client_test_2,FedProx500,0.9375,0.001,<class 'torch.optim.sgd.SGD'>,0.01,,,,,
client_test_3,FedProx500,0.7777777777777778,0.001,<class 'torch.optim.sgd.SGD'>,0.01,,,,,
Pooled Test,FedProx500,0.515748031496063,0.001,<class 'torch.optim.sgd.SGD'>,0.01,,,,,
client_test_0,FedAdagrad500,0.5769230769230769,0.0001,<class 'torch.optim.sgd.SGD'>,,1e-08,10.0,0.9,0.999,
client_test_1,FedAdagrad500,0.6067415730337079,0.0001,<class 'torch.optim.sgd.SGD'>,,1e-08,10.0,0.9,0.999,
client_test_2,FedAdagrad500,0.0625,0.0001,<class 'torch.optim.sgd.SGD'>,,1e-08,10.0,0.9,0.999,
client_test_3,FedAdagrad500,0.5333333333333333,0.0001,<class 'torch.optim.sgd.SGD'>,,1e-08,10.0,0.9,0.999,
Pooled Test,FedAdagrad500,0.547244094488189,0.0001,<class 'torch.optim.sgd.SGD'>,,1e-08,10.0,0.9,0.999,
client_test_0,FedAdam500,0.5288461538461539,0.0001,<class 'torch.optim.sgd.SGD'>,,1e-08,0.01,0.9,0.999,
client_test_1,FedAdam500,0.6179775280898876,0.0001,<class 'torch.optim.sgd.SGD'>,,1e-08,0.01,0.9,0.999,
client_test_2,FedAdam500,0.9375,0.0001,<class 'torch.optim.sgd.SGD'>,,1e-08,0.01,0.9,0.999,
client_test_3,FedAdam500,0.4,0.0001,<class 'torch.optim.sgd.SGD'>,,1e-08,0.01,0.9,0.999,
Pooled Test,FedAdam500,0.562992125984252,0.0001,<class 'torch.optim.sgd.SGD'>,,1e-08,0.01,0.9,0.999,
client_test_0,FedYogi500,0.5192307692307693,0.0001,<class 'torch.optim.sgd.SGD'>,,1e-08,0.01,0.9,0.999,
client_test_1,FedYogi500,0.6067415730337079,0.0001,<class 'torch.optim.sgd.SGD'>,,1e-08,0.01,0.9,0.999,
client_test_2,FedYogi500,0.9375,0.0001,<class 'torch.optim.sgd.SGD'>,,1e-08,0.01,0.9,0.999,
client_test_3,FedYogi500,0.4,0.0001,<class 'torch.optim.sgd.SGD'>,,1e-08,0.01,0.9,0.999,
Pooled Test,FedYogi500,0.5551181102362205,0.0001,<class 'torch.optim.sgd.SGD'>,,1e-08,0.01,0.9,0.999,
client_test_0,Cyclic500,0.46153846153846156,1e-05,<class 'torch.optim.sgd.SGD'>,,,,,,False
client_test_1,Cyclic500,0.4943820224719101,1e-05,<class 'torch.optim.sgd.SGD'>,,,,,,False
client_test_2,Cyclic500,0.9375,1e-05,<class 'torch.optim.sgd.SGD'>,,,,,,False
client_test_3,Cyclic500,0.4888888888888889,1e-05,<class 'torch.optim.sgd.SGD'>,,,,,,False
Pooled Test,Cyclic500,0.5078740157480315,1e-05,<class 'torch.optim.sgd.SGD'>,,,,,,False
client_test_0,Scaffold500,0.625,0.0001,<class 'torch.optim.sgd.SGD'>,,,1.0,,,
client_test_1,Scaffold500,0.7191011235955056,0.0001,<class 'torch.optim.sgd.SGD'>,,,1.0,,,
client_test_2,Scaffold500,0.0625,0.0001,<class 'torch.optim.sgd.SGD'>,,,1.0,,,
client_test_3,Scaffold500,0.4444444444444444,0.0001,<class 'torch.optim.sgd.SGD'>,,,1.0,,,
Pooled Test,Scaffold500,0.5905511811023622,0.0001,<class 'torch.optim.sgd.SGD'>,,,1.0,,,
