Test,Method,Metric,mu,learning_rate,tau,server_learning_rate,beta1,beta2,optimizer_class
client_test_0,FedAdam5,0.7895411849021912,,0.001,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_1,FedAdam5,0.4636799395084381,,0.001,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_2,FedAdam5,0.7886272668838501,,0.001,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
Pooled Test,FedAdam5,0.6856057047843933,,0.001,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_0,FedYogi5,0.398200660943985,,0.001,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_1,FedYogi5,0.4800543189048767,,0.001,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_2,FedYogi5,0.4306931495666504,,0.001,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
Pooled Test,FedYogi5,0.4285911023616791,,0.001,1e-08,0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_0,Cyclic5,0.4509563744068146,,0.0001,,,,,<class 'torch.optim.sgd.SGD'>
client_test_1,Cyclic5,0.4396283328533172,,0.0001,,,,,<class 'torch.optim.sgd.SGD'>
client_test_2,Cyclic5,0.4553326666355133,,0.0001,,,,,<class 'torch.optim.sgd.SGD'>
Pooled Test,Cyclic5,0.4479283392429352,,0.0001,,,,,<class 'torch.optim.sgd.SGD'>
client_test_0,Scaffold5,0.8228917121887207,,0.01,,1.0,,,<class 'torch.optim.sgd.SGD'>
client_test_1,Scaffold5,0.8204634785652161,,0.01,,1.0,,,<class 'torch.optim.sgd.SGD'>
client_test_2,Scaffold5,0.821934700012207,,0.01,,1.0,,,<class 'torch.optim.sgd.SGD'>
Pooled Test,Scaffold5,0.8219911456108093,,0.01,,1.0,,,<class 'torch.optim.sgd.SGD'>
client_test_0,FedAvg1,0.821636438369751,,0.01,,0.2,,,<class 'torch.optim.sgd.SGD'>
client_test_1,FedAvg1,0.8180585503578186,,0.01,,0.2,,,<class 'torch.optim.sgd.SGD'>
client_test_2,FedAvg1,0.8204520344734192,,0.01,,0.2,,,<class 'torch.optim.sgd.SGD'>
Pooled Test,FedAvg1,0.8203393816947937,,0.01,,0.2,,,<class 'torch.optim.sgd.SGD'>
client_test_0,FedProx1,0.8230068683624268,0.1,0.01,,0.2,,,<class 'torch.optim.sgd.SGD'>
client_test_1,FedProx1,0.8196386694908142,0.1,0.01,,0.2,,,<class 'torch.optim.sgd.SGD'>
client_test_2,FedProx1,0.8218612670898438,0.1,0.01,,0.2,,,<class 'torch.optim.sgd.SGD'>
Pooled Test,FedProx1,0.8217816352844238,0.1,0.01,,0.2,,,<class 'torch.optim.sgd.SGD'>
client_test_0,FedAdagrad1,0.9531978368759155,,0.001,1e-08,0.2,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_1,FedAdagrad1,0.933197557926178,,0.001,1e-08,0.2,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_2,FedAdagrad1,0.9454228281974792,,0.001,1e-08,0.2,0.9,0.999,<class 'torch.optim.sgd.SGD'>
Pooled Test,FedAdagrad1,0.945793867111206,,0.001,1e-08,0.2,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_0,FedAdam1,0.4361185133457184,,0.001,1e-08,0.2,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_1,FedAdam1,0.43550676107406616,,0.001,1e-08,0.2,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_2,FedAdam1,0.43627411127090454,,0.001,1e-08,0.2,0.9,0.999,<class 'torch.optim.sgd.SGD'>
Pooled Test,FedAdam1,0.4359442889690399,,0.001,1e-08,0.2,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_0,FedYogi1,0.4361185133457184,,0.001,1e-08,0.2,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_1,FedYogi1,0.43550676107406616,,0.001,1e-08,0.2,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_2,FedYogi1,0.436275452375412,,0.001,1e-08,0.2,0.9,0.999,<class 'torch.optim.sgd.SGD'>
Pooled Test,FedYogi1,0.43594443798065186,,0.001,1e-08,0.2,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_0,Cyclic1,0.4509563744068146,,0.0001,,0.2,,,<class 'torch.optim.sgd.SGD'>
client_test_1,Cyclic1,0.43962833285331726,,0.0001,,0.2,,,<class 'torch.optim.sgd.SGD'>
client_test_2,Cyclic1,0.4553326666355133,,0.0001,,0.2,,,<class 'torch.optim.sgd.SGD'>
Pooled Test,Cyclic1,0.44792836904525757,,0.0001,,0.2,,,<class 'torch.optim.sgd.SGD'>
client_test_0,Scaffold1,0.8226715326309204,,0.01,,0.2,,,<class 'torch.optim.sgd.SGD'>
client_test_1,Scaffold1,0.819693922996521,,0.01,,0.2,,,<class 'torch.optim.sgd.SGD'>
client_test_2,Scaffold1,0.8217407464981079,,0.01,,0.2,,,<class 'torch.optim.sgd.SGD'>
Pooled Test,Scaffold1,0.8215992450714111,,0.01,,0.2,,,<class 'torch.optim.sgd.SGD'>
