Test,Method,Metric,mu,learning_rate,tau,server_learning_rate,beta1,beta2,optimizer_class
client_test_2,Cyclic1,0.4697436094284057,,"0,00001",,,,,<class 'torch.optim.adamw.AdamW'>
Pooled Test,Cyclic1,0.4763974845409393,,"0,00001",,,,,<class 'torch.optim.adamw.AdamW'>
client_test_0,FedAvg1,0.5734730362892151,,0.001,,,,,<class 'torch.optim.sgd.SGD'>
client_test_1,FedAvg1,0.5751051306724548,,0.001,,,,,<class 'torch.optim.sgd.SGD'>
client_test_2,FedAvg1,0.569532036781311,,0.001,,,,,<class 'torch.optim.sgd.SGD'>
Pooled Test,FedAvg1,0.573469877243042,,0.001,,,,,<class 'torch.optim.sgd.SGD'>
client_test_0,FedProx1,0.5734336972236633,0.1,0.001,,,,,<class 'torch.optim.sgd.SGD'>
client_test_1,FedProx1,0.575032651424408,0.1,0.001,,,,,<class 'torch.optim.sgd.SGD'>
client_test_2,FedProx1,0.569502055644989,0.1,0.001,,,,,<class 'torch.optim.sgd.SGD'>
Pooled Test,FedProx1,0.5734211802482605,0.1,0.001,,,,,<class 'torch.optim.sgd.SGD'>
client_test_0,Cyclic1,0.4352036714553833,,"0,00001",,,,,<class 'torch.optim.sgd.SGD'>
client_test_1,Cyclic1,0.4369395971298218,,"0,00001",,,,,<class 'torch.optim.sgd.SGD'>
client_test_2,Cyclic1,0.4280595779418945,,"0,00001",,,,,<class 'torch.optim.sgd.SGD'>
Pooled Test,Cyclic1,0.4348083734512329,,"0,00001",,,,,<class 'torch.optim.sgd.SGD'>
client_test_0,FedAdam1,0.8500615358352661,,0.0001,"0,00000001",0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_1,FedAdam1,0.9127014875411987,,0.0001,"0,00000001",0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_2,FedAdam1,0.8645744919776917,,0.0001,"0,00000001",0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
Pooled Test,FedAdam1,0.8719441890716553,,0.0001,"0,00000001",0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_0,FedYogi1,0.9364281892776489,,0.0001,"0,00000001",0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_1,FedYogi1,0.9501314163208008,,0.0001,"0,00000001",0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_2,FedYogi1,0.8857705593109131,,0.0001,"0,00000001",0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
Pooled Test,FedYogi1,0.9340693354606628,,0.0001,"0,00000001",0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_0,FedAdagrad1,0.9256080389022827,,0.0001,"0,00000001",0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_1,FedAdagrad1,0.9429677128791809,,0.0001,"0,00000001",0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_2,FedAdagrad1,0.9497845768928528,,0.0001,"0,00000001",0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
Pooled Test,FedAdagrad1,0.9343477487564087,,0.0001,"0,00000001",0.1,0.9,0.999,<class 'torch.optim.sgd.SGD'>
client_test_0,Scaffold1,0.5733383893966675,,0.001,,1.0,,,<class 'torch.optim.sgd.SGD'>
client_test_1,Scaffold1,0.5749478340148926,,0.001,,1.0,,,<class 'torch.optim.sgd.SGD'>
client_test_2,Scaffold1,0.5694255828857422,,0.001,,1.0,,,<class 'torch.optim.sgd.SGD'>
Pooled Test,Scaffold1,0.5733317732810974,,0.001,,1.0,,,<class 'torch.optim.sgd.SGD'>
